Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Nikola Stojiljkovic,"Aug 17, 1992 (27)",Serbia,Centre-Forward,€650k,2019,Portuguese First Division,Boavista
Cassiano,"Jun 16, 1989 (31)",Brazil,Centre-Forward,€300k,2019,Portuguese First Division,Boavista
Ricardo Ribeiro,"Jan 27, 1990 (30)",Portugal,Goalkeeper,€450k,2019,Portuguese First Division,Paços
Simão,"Jul 2, 1993 (26)",Brazil,Goalkeeper,€200k,2019,Portuguese First Division,Paços
Marco Ribeiro,"Jan 29, 1995 (25)",Portugal,Goalkeeper,€100k,2019,Portuguese First Division,Paços
Zé Pedro,"Apr 6, 2002 (18)",Portugal,Goalkeeper,-,2019,Portuguese First Division,Paços
Marco Baixinho,"Jul 11, 1989 (30)",Portugal,Centre-Back,€475k,2019,Portuguese First Division,Paços
Marcelo,"Jul 27, 1989 (30)","Brazil""",Centre-Back,€400k,2019,Portuguese First Division,Paços
Maracás,"Apr 27, 1994 (26)",Brazil,Centre-Back,€300k,2019,Portuguese First Division,Paços
André Micael,"Feb 4, 1989 (31)",Portugal,Centre-Back,€250k,2019,Portuguese First Division,Paços
Oleg Reabciuk,"Jan 16, 1998 (22)","Moldova""",Left-Back,€800k,2019,Portuguese First Division,Paços
Bruno Teles,"May 1, 1986 (34)",Brazil,Left-Back,€200k,2019,Portuguese First Division,Paços
Bruno Santos,"Feb 7, 1993 (27)","Brazil""",Right-Back,€525k,2019,Portuguese First Division,Paços
Jorge Silva,"Mar 22, 1996 (24)",Portugal,Right-Back,€300k,2019,Portuguese First Division,Paços
Momo Diaby,"Sep 3, 1996 (23)","France""",Defensive Midfield,€650k,2019,Portuguese First Division,Paços
Vasco Rocha,"Jan 29, 1989 (31)",Portugal,Defensive Midfield,€200k,2019,Portuguese First Division,Paços
André Leão,"May 20, 1985 (35)",Portugal,Defensive Midfield,€75k,2019,Portuguese First Division,Paços
Abbas Ibrahim,"Jan 2, 1998 (22)",Nigeria,Defensive Midfield,-,2019,Portuguese First Division,Paços
Stephen Eustaquio,"Dec 21, 1996 (23)","Canada""",Central Midfield,€2.00m,2019,Portuguese First Division,Paços
Pedrinho,"Dec 20, 1992 (27)",Portugal,Central Midfield,€650k,2019,Portuguese First Division,Paços
Matchoi Djaló,"Apr 10, 2003 (17)","Portugal""",Central Midfield,€200k,2019,Portuguese First Division,Paços
Luíz Carlos,"Jul 5, 1985 (34)",Brazil,Central Midfield,€100k,2019,Portuguese First Division,Paços
João Amaral,"Sep 7, 1991 (28)",Portugal,Attacking Midfield,€800k,2019,Portuguese First Division,Paços
Adriano Castanheira,"Apr 7, 1993 (27)","Portugal""",Attacking Midfield,€475k,2019,Portuguese First Division,Paços
Benny,"Dec 4, 1997 (22)",Portugal,Attacking Midfield,€325k,2019,Portuguese First Division,Paços
Rafael Gava,"May 20, 1993 (27)",Brazil,Attacking Midfield,€200k,2019,Portuguese First Division,Paços
Murilo,"May 12, 1996 (24)",Brazil,Left Winger,€650k,2019,Portuguese First Division,Paços
Sodiq Fatai,"Jun 4, 1996 (24)",Nigeria,Left Winger,€325k,2019,Portuguese First Division,Paços
Yago César,"May 26, 1997 (23)",Brazil,Left Winger,€300k,2019,Portuguese First Division,Paços
Hélder Ferreira,"Apr 5, 1997 (23)",Portugal,Right Winger,€450k,2019,Portuguese First Division,Paços
Uilton,"Jul 25, 1992 (27)",Brazil,Right Winger,€300k,2019,Portuguese First Division,Paços
Deni Júnior,"Jul 18, 1995 (24)",Brazil,Centre-Forward,€800k,2019,Portuguese First Division,Paços
Welthon,"Jun 21, 1992 (28)",Brazil,Centre-Forward,€650k,2019,Portuguese First Division,Paços
Diogo Almeida,"Sep 8, 2000 (19)",Portugal,Centre-Forward,€450k,2019,Portuguese First Division,Paços
Douglas Tanque,"Oct 27, 1993 (26)",Brazil,Centre-Forward,€400k,2019,Portuguese First Division,Paços
Renat Dadashov,"May 17, 1999 (21)","Azerbaijan""",Centre-Forward,€350k,2019,Portuguese First Division,Paços
Cláudio Ramos,"Nov 16, 1991 (28)",Portugal,Goalkeeper,€1.60m,2019,Portuguese First Division,Tondela
Babacar Niasse,"Dec 20, 1996 (23)","Mauritania""",Goalkeeper,€300k,2019,Portuguese First Division,Tondela
Diogo Silva,"May 13, 1993 (27)",Portugal,Goalkeeper,€100k,2019,Portuguese First Division,Tondela
Bruno Wilson,"Dec 27, 1996 (23)",Portugal,Centre-Back,€650k,2019,Portuguese First Division,Tondela
Yohan Tavares,"Mar 2, 1988 (32)","Portugal""",Centre-Back,€475k,2019,Portuguese First Division,Tondela
Philipe Sampaio,"Nov 11, 1994 (25)",Brazil,Centre-Back,€475k,2019,Portuguese First Division,Tondela
Marko Petkovic,"Sep 3, 1992 (27)",Serbia,Centre-Back,€325k,2019,Portuguese First Division,Tondela
Ricardo Alves,"May 9, 1991 (29)",Portugal,Centre-Back,€300k,2019,Portuguese First Division,Tondela
Jota Gonçalves,"Jun 17, 2000 (20)",Portugal,Centre-Back,€100k,2019,Portuguese First Division,Tondela
Filipe Ferreira,"Sep 27, 1990 (29)",Portugal,Left-Back,€550k,2019,Portuguese First Division,Tondela
João Reis,"Jun 24, 1992 (28)",Portugal,Left-Back,€200k,2019,Portuguese First Division,Tondela
João Vigário,"Nov 20, 1995 (24)",Portugal,Left-Back,€150k,2019,Portuguese First Division,Tondela
Fahd Moufi,"May 5, 1996 (24)","Morocco""",Right-Back,€550k,2019,Portuguese First Division,Tondela
Tiago Almeida,"Aug 28, 2001 (18)",Portugal,Right-Back,-,2019,Portuguese First Division,Tondela
Pepelu,"Aug 11, 1998 (21)",Spain,Defensive Midfield,€900k,2019,Portuguese First Division,Tondela
João Jaquité,"Feb 22, 1996 (24)","Guinea-Bissau""",Defensive Midfield,€400k,2019,Portuguese First Division,Tondela
Pedro Augusto,"Mar 3, 1997 (23)",Brazil,Defensive Midfield,€150k,2019,Portuguese First Division,Tondela
João Pedro,"Apr 3, 1993 (27)",Portugal,Central Midfield,€550k,2019,Portuguese First Division,Tondela
Bruno Monteiro,"Oct 5, 1984 (35)",Portugal,Central Midfield,€100k,2019,Portuguese First Division,Tondela
Jonathan Rubio,"Oct 21, 1996 (23)","Honduras""",Attacking Midfield,€550k,2019,Portuguese First Division,Tondela
Pité,"Aug 22, 1994 (25)",Portugal,Attacking Midfield,€300k,2019,Portuguese First Division,Tondela
Telmo Arcanjo,"Jun 21, 2001 (19)",Cape Verde,Attacking Midfield,-,2019,Portuguese First Division,Tondela
Xavier,"Jul 6, 1992 (27)",Portugal,Left Winger,€800k,2019,Portuguese First Division,Tondela
Richard,"Oct 11, 1999 (20)",Brazil,Left Winger,€625k,2019,Portuguese First Division,Tondela
Jhon Murillo,"Nov 21, 1995 (24)",Venezuela,Right Winger,€1.00m,2019,Portuguese First Division,Tondela
Deni Júnior,"Jul 18, 1995 (24)",Brazil,Centre-Forward,€800k,2019,Portuguese First Division,Tondela
Ricardo Valente,"Apr 3, 1991 (29)",Portugal,Centre-Forward,€400k,2019,Portuguese First Division,Tondela
Tomislav Strkalj,"Aug 2, 1996 (23)",Croatia,Centre-Forward,€325k,2019,Portuguese First Division,Tondela
Ronan,"Apr 22, 1995 (25)",Brazil,Centre-Forward,€300k,2019,Portuguese First Division,Tondela
Rubilio Castillo,"Nov 26, 1991 (28)",Honduras,Centre-Forward,€200k,2019,Portuguese First Division,Tondela
Rúben Fonseca,"Feb 24, 2000 (20)",Portugal,Centre-Forward,€100k,2019,Portuguese First Division,Tondela
Hervé Koffi,"Oct 16, 1996 (23)",Burkina Faso,Goalkeeper,€800k,2019,Portuguese First Division,Belenenses
André Moreira,"Dec 2, 1995 (24)",Portugal,Goalkeeper,€400k,2019,Portuguese First Division,Belenenses
Mika,"Mar 8, 1991 (29)","Portugal""",Goalkeeper,€200k,2019,Portuguese First Division,Belenenses
João Monteiro,"May 7, 2001 (19)",Portugal,Goalkeeper,€100k,2019,Portuguese First Division,Belenenses
Filipe Mendes,"Jun 17, 1985 (35)",Portugal,Goalkeeper,€50k,2019,Portuguese First Division,Belenenses
Gonçalo Silva,"Jun 4, 1991 (29)",Portugal,Centre-Back,€1.00m,2019,Portuguese First Division,Belenenses
Tomás Ribeiro,"Apr 30, 1999 (21)",Portugal,Centre-Back,€525k,2019,Portuguese First Division,Belenenses
Ricardo Ferreira,"Nov 25, 1992 (27)","Canada""",Centre-Back,€475k,2019,Portuguese First Division,Belenenses
Chima Akas,"May 3, 1994 (26)",Nigeria,Centre-Back,€400k,2019,Portuguese First Division,Belenenses
Eduardo Kau,"Jan 17, 1999 (21)",Brazil,Centre-Back,€200k,2019,Portuguese First Division,Belenenses
Hakim Ouro-Sama,"Dec 28, 1997 (22)",Togo,Centre-Back,€200k,2019,Portuguese First Division,Belenenses
Luís Silva,"Feb 18, 1999 (21)",Portugal,Centre-Back,-,2019,Portuguese First Division,Belenenses
Danny Henriques,"Jul 29, 1997 (22)","Netherlands""",Centre-Back,-,2019,Portuguese First Division,Belenenses
Luca van der Gaag,"Jul 19, 2001 (18)","Netherlands""",Centre-Back,-,2019,Portuguese First Division,Belenenses
Rúben Lima,"Oct 3, 1989 (30)",Portugal,Left-Back,€475k,2019,Portuguese First Division,Belenenses
Fran Varela,"Oct 26, 1994 (25)",Spain,Left-Back,€400k,2019,Portuguese First Division,Belenenses
Calila,"Oct 10, 1998 (21)",Portugal,Right-Back,€350k,2019,Portuguese First Division,Belenenses
Tiago Esgaio,"Aug 1, 1995 (24)",Portugal,Right-Back,€325k,2019,Portuguese First Division,Belenenses
Simón Ramírez,"Nov 3, 1998 (21)",Chile,Right-Back,€150k,2019,Portuguese First Division,Belenenses
Gonçalo Tavares,"May 16, 1997 (23)",Portugal,Right-Back,€100k,2019,Portuguese First Division,Belenenses
Show,"Mar 6, 1999 (21)",Angola,Defensive Midfield,€1.30m,2019,Portuguese First Division,Belenenses
André Santos,"Mar 2, 1989 (31)",Portugal,Defensive Midfield,€650k,2019,Portuguese First Division,Belenenses
Cafú Phete,"Apr 4, 1994 (26)",South Africa,Defensive Midfield,€300k,2019,Portuguese First Division,Belenenses
Nuno Coelho,"Nov 23, 1987 (32)",Portugal,Defensive Midfield,€300k,2019,Portuguese First Division,Belenenses
André Sousa,"Jul 9, 1990 (29)",Portugal,Central Midfield,€550k,2019,Portuguese First Division,Belenenses
Jonatan Lucca,"Jun 2, 1994 (26)","Brazil""",Central Midfield,€550k,2019,Portuguese First Division,Belenenses
Benny,"Jan 4, 1997 (23)",Portugal,Central Midfield,€400k,2019,Portuguese First Division,Belenenses
Nuno Pina,"Mar 31, 1999 (21)","Portugal""",Central Midfield,€150k,2019,Portuguese First Division,Belenenses
Yaya Sithole,"Mar 3, 1999 (21)",South Africa,Central Midfield,-,2019,Portuguese First Division,Belenenses
Matija Ljujic,"Oct 28, 1993 (26)",Serbia,Attacking Midfield,€325k,2019,Portuguese First Division,Belenenses
Tomás Castro,"Mar 13, 1999 (21)",Portugal,Attacking Midfield,€100k,2019,Portuguese First Division,Belenenses
Chahreddine Boukholda,"May 24, 1996 (24)","France""",Attacking Midfield,-,2019,Portuguese First Division,Belenenses
Marco Matias,"May 10, 1989 (31)",Portugal,Left Winger,€550k,2019,Portuguese First Division,Belenenses
Licá,"Sep 8, 1988 (31)",Portugal,Left Winger,€475k,2019,Portuguese First Division,Belenenses
Varela,"Feb 2, 1985 (35)","Portugal""",Left Winger,€200k,2019,Portuguese First Division,Belenenses
Gonçalo Agrelos,"Feb 18, 1998 (22)",Portugal,Left Winger,€100k,2019,Portuguese First Division,Belenenses
Nilton,"May 25, 2001 (19)","Portugal""",Left Winger,-,2019,Portuguese First Division,Belenenses
Imad Faraj,"Feb 11, 1999 (21)","France""",Right Winger,€300k,2019,Portuguese First Division,Belenenses
Robinho,"Jul 31, 1997 (22)",Portugal,Right Winger,€300k,2019,Portuguese First Division,Belenenses
Dieguinho,"Jun 7, 1992 (28)","Brazil""",Right Winger,€200k,2019,Portuguese First Division,Belenenses
Edi Semedo,"Jun 1, 1999 (21)",Portugal,Right Winger,-,2019,Portuguese First Division,Belenenses
Mateo Cassierra,"Apr 13, 1997 (23)",Colombia,Centre-Forward,€1.20m,2019,Portuguese First Division,Belenenses
Alhassane Keita,"Apr 16, 1992 (28)","Guinea""",Centre-Forward,€475k,2019,Portuguese First Division,Belenenses
Kikas,"Sep 17, 1998 (21)",Portugal,Centre-Forward,€300k,2019,Portuguese First Division,Belenenses
Nicolás Vélez,"Jul 4, 1990 (29)","Argentina""",Centre-Forward,€200k,2019,Portuguese First Division,Belenenses
Charles-Andreas Brym,"Aug 8, 1998 (21)","Canada""",Centre-Forward,-,2019,Portuguese First Division,Belenenses
Giorgi Makaridze,"Mar 31, 1990 (30)",Georgia,Goalkeeper,€1.20m,2019,Portuguese First Division,Vitória Setúbal
Lucas Paes,"Dec 7, 1997 (22)",Brazil,Goalkeeper,€200k,2019,Portuguese First Division,Vitória Setúbal
João Valido,"Mar 3, 2000 (20)",Portugal,Goalkeeper,€100k,2019,Portuguese First Division,Vitória Setúbal
Milton Raphael,"May 11, 1991 (29)",Brazil,Goalkeeper,-,2019,Portuguese First Division,Vitória Setúbal
Artur Jorge,"Aug 14, 1994 (25)",Portugal,Centre-Back,€800k,2019,Portuguese First Division,Vitória Setúbal
Bruno Pirri,"May 12, 1992 (28)","Brazil""",Centre-Back,€650k,2019,Portuguese First Division,Vitória Setúbal
Jubal,"Aug 29, 1993 (26)",Brazil,Centre-Back,€550k,2019,Portuguese First Division,Vitória Setúbal
Vasco Fernandes,"Nov 12, 1986 (33)",Portugal,Centre-Back,€250k,2019,Portuguese First Division,Vitória Setúbal
João Meira,"Apr 30, 1987 (33)",Portugal,Centre-Back,€200k,2019,Portuguese First Division,Vitória Setúbal
Baba Fernandes,"Mar 7, 2000 (20)","Guinea-Bissau""",Centre-Back,€100k,2019,Portuguese First Division,Vitória Setúbal
João Serrão,"Feb 11, 2000 (20)",Portugal,Centre-Back,€50k,2019,Portuguese First Division,Vitória Setúbal
André Sousa,"Feb 26, 1998 (22)",Portugal,Left-Back,€525k,2019,Portuguese First Division,Vitória Setúbal
Nuno Pinto,"Aug 6, 1986 (33)",Portugal,Left-Back,€200k,2019,Portuguese First Division,Vitória Setúbal
Bruno Langa,"Oct 31, 1997 (22)",Mozambique,Left-Back,-,2019,Portuguese First Division,Vitória Setúbal
Sílvio,"Sep 28, 1987 (32)",Portugal,Right-Back,€300k,2019,Portuguese First Division,Vitória Setúbal
Mano,"Apr 9, 1987 (33)","Portugal""",Right-Back,€200k,2019,Portuguese First Division,Vitória Setúbal
André Pedrosa,"Apr 12, 1997 (23)",Portugal,Defensive Midfield,€400k,2019,Portuguese First Division,Vitória Setúbal
Leandrinho,"Sep 25, 1993 (26)",Brazil,Defensive Midfield,€300k,2019,Portuguese First Division,Vitória Setúbal
Leandro Vilela,"Jun 29, 1995 (25)",Brazil,Defensive Midfield,€200k,2019,Portuguese First Division,Vitória Setúbal
Semedo,"Jan 11, 1985 (35)",Portugal,Defensive Midfield,€100k,2019,Portuguese First Division,Vitória Setúbal
Nuno Valente,"Nov 22, 1991 (28)",Portugal,Central Midfield,€475k,2019,Portuguese First Division,Vitória Setúbal
Luís Cortez,"Apr 18, 1994 (26)",Portugal,Central Midfield,-,2019,Portuguese First Division,Vitória Setúbal
Mirko Antonucci,"Mar 11, 1999 (21)",Italy,Attacking Midfield,€900k,2019,Portuguese First Division,Vitória Setúbal
Carlinhos,"Jun 22, 1994 (26)",Brazil,Attacking Midfield,€650k,2019,Portuguese First Division,Vitória Setúbal
Éber Bessa,"Mar 21, 1992 (28)",Brazil,Attacking Midfield,€550k,2019,Portuguese First Division,Vitória Setúbal
Rodrigo Mathiola,"Aug 14, 1997 (22)",Brazil,Attacking Midfield,€200k,2019,Portuguese First Division,Vitória Setúbal
Tiago Castro,"Jan 31, 1996 (24)",Portugal,Attacking Midfield,€200k,2019,Portuguese First Division,Vitória Setúbal
Brian Mansilla,"Apr 16, 1997 (23)",Argentina,Left Winger,€800k,2019,Portuguese First Division,Vitória Setúbal
Kgaogelo Sekgota,"Jun 22, 1997 (23)",South Africa,Left Winger,€150k,2019,Portuguese First Division,Vitória Setúbal
Alex,"Aug 27, 1991 (28)",Portugal,Left Winger,€100k,2019,Portuguese First Division,Vitória Setúbal
Leonardo Chão,"Aug 1, 1999 (20)",Portugal,Left Winger,-,2019,Portuguese First Division,Vitória Setúbal
Tòfol Montiel,"Apr 11, 2000 (20)",Spain,Right Winger,€900k,2019,Portuguese First Division,Vitória Setúbal
Hildeberto,"Mar 2, 1996 (24)",Cape Verde,Right Winger,€650k,2019,Portuguese First Division,Vitória Setúbal
Zequinha,"Jan 7, 1987 (33)",Portugal,Second Striker,€200k,2019,Portuguese First Division,Vitória Setúbal
Khalid Hachadi,"May 3, 1998 (22)",Morocco,Centre-Forward,€625k,2019,Portuguese First Division,Vitória Setúbal
Frédéric Mendy,"Sep 18, 1988 (31)","Guinea-Bissau""",Centre-Forward,€400k,2019,Portuguese First Division,Vitória Setúbal
Nabil Ghilas,"Apr 20, 1990 (30)","Algeria""",Centre-Forward,€325k,2019,Portuguese First Division,Vitória Setúbal
Hélder Guedes,"May 7, 1987 (33)",Portugal,Centre-Forward,€300k,2019,Portuguese First Division,Vitória Setúbal
Ricardo Ferreira,"Dec 3, 1989 (30)",Portugal,Goalkeeper,€475k,2019,Portuguese First Division,Portimonense
Shuichi Gonda,"Mar 3, 1989 (31)",Japan,Goalkeeper,€325k,2019,Portuguese First Division,Portimonense
Samuel Portugal,"Mar 29, 1994 (26)",Brazil,Goalkeeper,€100k,2019,Portuguese First Division,Portimonense
Lucas Possignolo,"May 11, 1994 (26)","Brazil""",Centre-Back,€800k,2019,Portuguese First Division,Portimonense
Jadson,"Nov 5, 1991 (28)",Brazil,Centre-Back,€800k,2019,Portuguese First Division,Portimonense
Emmanuel Hackman,"May 14, 1995 (25)","Togo""",Centre-Back,€325k,2019,Portuguese First Division,Portimonense
Willyan Rocha,"Jan 27, 1995 (25)","Brazil""",Centre-Back,€325k,2019,Portuguese First Division,Portimonense
Rodrigo Freitas,"Jun 17, 1998 (22)",Brazil,Centre-Back,€300k,2019,Portuguese First Division,Portimonense
Éverson Bispo,"Jul 24, 1997 (22)",Brazil,Centre-Back,€200k,2019,Portuguese First Division,Portimonense
Fali Candé,"Jan 24, 1998 (22)","Guinea-Bissau""",Centre-Back,€25k,2019,Portuguese First Division,Portimonense
Koki Anzai,"May 31, 1995 (25)",Japan,Left-Back,€800k,2019,Portuguese First Division,Portimonense
Júnior Tavares,"Aug 7, 1996 (23)",Brazil,Left-Back,€725k,2019,Portuguese First Division,Portimonense
Henrique Gelain,"Jan 5, 1995 (25)",Brazil,Left-Back,€400k,2019,Portuguese First Division,Portimonense
Pedro Sá,"Dec 1, 1993 (26)",Portugal,Defensive Midfield,€1.20m,2019,Portuguese First Division,Portimonense
Rômulo,"Jan 10, 1996 (24)",Brazil,Defensive Midfield,€600k,2019,Portuguese First Division,Portimonense
Jorge Vilela,"Mar 16, 1996 (24)",Portugal,Defensive Midfield,-,2019,Portuguese First Division,Portimonense
Bruno Costa,"Apr 19, 1997 (23)",Portugal,Central Midfield,€1.60m,2019,Portuguese First Division,Portimonense
Paulo Estrela,"Feb 20, 1999 (21)",Portugal,Central Midfield,€400k,2019,Portuguese First Division,Portimonense
Fernando Medeiros,"Feb 10, 1996 (24)",Brazil,Central Midfield,€325k,2019,Portuguese First Division,Portimonense
Paulinho,"Jul 10, 1994 (25)",Brazil,Attacking Midfield,€2.00m,2019,Portuguese First Division,Portimonense
Lucas Fernandes,"Sep 20, 1997 (22)",Brazil,Attacking Midfield,€1.70m,2019,Portuguese First Division,Portimonense
José Francisco Cevallos Jr.,"Jan 18, 1995 (25)",Ecuador,Attacking Midfield,€725k,2019,Portuguese First Division,Portimonense
Dener,"Mar 13, 1992 (28)",Brazil,Attacking Midfield,€650k,2019,Portuguese First Division,Portimonense
Luquinha,"Oct 3, 2000 (19)",Brazil,Attacking Midfield,-,2019,Portuguese First Division,Portimonense
Marlos Moreno,"Sep 20, 1996 (23)",Colombia,Left Winger,€325k,2019,Portuguese First Division,Portimonense
Anderson Oliveira,"Jul 16, 1998 (21)",Brazil,Left Winger,€200k,2019,Portuguese First Division,Portimonense
Evans Mensah,"Feb 9, 1998 (22)",Ghana,Left Winger,€200k,2019,Portuguese First Division,Portimonense
Sérgio Santos,"Oct 2, 1998 (21)","Portugal""",Left Winger,-,2019,Portuguese First Division,Portimonense
Bruno Tabata,"Mar 30, 1997 (23)",Brazil,Right Winger,€2.00m,2019,Portuguese First Division,Portimonense
Aylton Boa Morte,"Sep 23, 1993 (26)","Portugal""",Right Winger,€1.20m,2019,Portuguese First Division,Portimonense
Ricardo Vaz Tê,"Oct 1, 1986 (33)","Portugal""",Right Winger,€300k,2019,Portuguese First Division,Portimonense
Takuma Nishimura,"Oct 22, 1996 (23)",Japan,Second Striker,€725k,2019,Portuguese First Division,Portimonense
Jackson Martínez,"Oct 3, 1986 (33)",Colombia,Centre-Forward,€1.60m,2019,Portuguese First Division,Portimonense
Mohanad Ali,"Jun 20, 2000 (20)",Iraq,Centre-Forward,€800k,2019,Portuguese First Division,Portimonense
Iury Castilho,"Sep 6, 1995 (24)",Brazil,Centre-Forward,€350k,2019,Portuguese First Division,Portimonense
Zé Gomes,"Apr 8, 1999 (21)","Portugal""",Centre-Forward,€300k,2019,Portuguese First Division,Portimonense
Beto,"Jan 31, 1998 (22)","Portugal""",Centre-Forward,€200k,2019,Portuguese First Division,Portimonense
Quentin Beunardeau,"Feb 27, 1994 (26)",France,Goalkeeper,€650k,2019,Portuguese First Division,Aves
Raphael Aflalo,"Jul 8, 1996 (23)",Brazil,Goalkeeper,€200k,2019,Portuguese First Division,Aves
Dimitar Sheytanov,"Mar 15, 1999 (21)",Bulgaria,Goalkeeper,€100k,2019,Portuguese First Division,Aves
Fabio,"May 11, 1990 (30)","Brazil""",Goalkeeper,€100k,2019,Portuguese First Division,Aves
Adam Dzwigala,"Sep 25, 1995 (24)",Poland,Centre-Back,€400k,2019,Portuguese First Division,Aves
Adi Mehremic,"Apr 26, 1992 (28)",Bosnia-Herzegovina,Centre-Back,€400k,2019,Portuguese First Division,Aves
Jonathan Buatu,"Sep 27, 1993 (26)","Angola""",Centre-Back,€400k,2019,Portuguese First Division,Aves
Bruno Morais,"Apr 8, 1998 (22)",Portugal,Centre-Back,€300k,2019,Portuguese First Division,Aves
Oumar Diakhite,"Dec 9, 1993 (26)","Senegal""",Centre-Back,€200k,2019,Portuguese First Division,Aves
Andrej Simunec,"Mar 2, 1995 (25)",Croatia,Centre-Back,€150k,2019,Portuguese First Division,Aves
Hélder Baldé,"Aug 3, 1998 (21)","Portugal""",Centre-Back,€100k,2019,Portuguese First Division,Aves
Bruno Jesus,"Apr 22, 1997 (23)","Brazil""",Centre-Back,-,2019,Portuguese First Division,Aves
Afonso Figueiredo,"Jan 6, 1993 (27)",Portugal,Left-Back,€475k,2019,Portuguese First Division,Aves
Ricardo Mangas,"Mar 19, 1998 (22)",Portugal,Left-Back,€450k,2019,Portuguese First Division,Aves
Bruninho,"Dec 16, 1993 (26)",Brazil,Left-Back,€200k,2019,Portuguese First Division,Aves
Eric Veiga,"Feb 18, 1997 (23)","Luxembourg""",Left-Back,€50k,2019,Portuguese First Division,Aves
Mato Milos,"Jun 30, 1993 (27)",Croatia,Right-Back,€400k,2019,Portuguese First Division,Aves
Jaílson,"Feb 21, 1991 (29)","Brazil""",Right-Back,€325k,2019,Portuguese First Division,Aves
Cláudio Tavares,"Mar 23, 1997 (23)",Cape Verde,Right-Back,-,2019,Portuguese First Division,Aves
Claudio Falcão,"Jul 3, 1994 (25)","Brazil""",Defensive Midfield,€475k,2019,Portuguese First Division,Aves
Estrela,"Sep 22, 1995 (24)","Angola""",Defensive Midfield,€325k,2019,Portuguese First Division,Aves
Aaron Tshibola,"Jan 2, 1995 (25)",DR Congo,Central Midfield,€800k,2019,Portuguese First Division,Aves
Rúben Oliveira,"Dec 14, 1994 (25)",Portugal,Central Midfield,€325k,2019,Portuguese First Division,Aves
Reko Silva,"Jun 21, 1999 (21)",Portugal,Central Midfield,€325k,2019,Portuguese First Division,Aves
Luiz Fernando,"Apr 8, 1995 (25)",Brazil,Central Midfield,€300k,2019,Portuguese First Division,Aves
Enzo Zidane,"Mar 24, 1995 (25)","France""",Attacking Midfield,€550k,2019,Portuguese First Division,Aves
Zidane Banjaqui,"Dec 15, 1998 (21)","Guinea-Bissau""",Attacking Midfield,€350k,2019,Portuguese First Division,Aves
Pedro Delgado,"Apr 7, 1997 (23)","Portugal""",Attacking Midfield,€250k,2019,Portuguese First Division,Aves
Bruno Lourenço,"Feb 2, 1998 (22)",Portugal,Attacking Midfield,€100k,2019,Portuguese First Division,Aves
Bruno Xavier,"Nov 27, 1996 (23)",Brazil,Attacking Midfield,-,2019,Portuguese First Division,Aves
Rúben Macedo,"Mar 9, 1996 (24)","Portugal""",Left Winger,€325k,2019,Portuguese First Division,Aves
Ricardo Rodrigues,"Jun 28, 1995 (25)",Portugal,Left Winger,-,2019,Portuguese First Division,Aves
Mehrdad Mohammadi,"Sep 29, 1993 (26)",Iran,Right Winger,€1.60m,2019,Portuguese First Division,Aves
Welinton Junior,"Jun 8, 1993 (27)",Brazil,Right Winger,€725k,2019,Portuguese First Division,Aves
Miguel Tavares,"Aug 29, 1998 (21)",Portugal,Right Winger,€350k,2019,Portuguese First Division,Aves
Kevin Yamga,"Sep 7, 1996 (23)","France""",Right Winger,€325k,2019,Portuguese First Division,Aves
Erik,"Feb 2, 1995 (25)",Brazil,Right Winger,€200k,2019,Portuguese First Division,Aves
José Varela,"Sep 15, 1997 (22)",Cape Verde,Right Winger,€100k,2019,Portuguese First Division,Aves
Mozino,"Mar 30, 1997 (23)",Cote d'Ivoire,Right Winger,-,2019,Portuguese First Division,Aves
Kahraba,"Apr 13, 1994 (26)",Egypt,Centre-Forward,€1.20m,2019,Portuguese First Division,Aves
Marius Mouandilmadji,"Jan 22, 1998 (22)",Chad,Centre-Forward,€350k,2019,Portuguese First Division,Aves
Peu,"Apr 24, 1993 (27)",Brazil,Centre-Forward,€200k,2019,Portuguese First Division,Aves
Abdoulaye Diallo,"Jan 15, 1996 (24)",Senegal,Centre-Forward,€100k,2019,Portuguese First Division,Aves
Pedro Soares,"Mar 30, 1999 (21)",Portugal,Centre-Forward,-,2019,Portuguese First Division,Aves
Kelvin Boateng,"Mar 24, 2000 (20)",Ghana,Centre-Forward,-,2019,Portuguese First Division,Aves
Luís Maximiano,"Jan 5, 1999 (22)",Portugal,Goalkeeper,€5.00m,2020,Portuguese First Division,Sporting CP
Antonio Adán,"May 13, 1987 (34)",Spain,Goalkeeper,€3.00m,2020,Portuguese First Division,Sporting CP
Renan Ribeiro,"Mar 23, 1990 (31)",Brazil,Goalkeeper,€600k,2020,Portuguese First Division,Sporting CP
André Paulo,"Dec 18, 1996 (24)",Portugal,Goalkeeper,-,2020,Portuguese First Division,Sporting CP
Sebastián Coates,"Oct 7, 1990 (30)","Uruguay""",Centre-Back,€14.00m,2020,Portuguese First Division,Sporting CP
Gonçalo Inácio,"Aug 25, 2001 (19)",Portugal,Centre-Back,€9.00m,2020,Portuguese First Division,Sporting CP
Zouhair Feddal,"Dec 23, 1989 (31)","Morocco""",Centre-Back,€6.00m,2020,Portuguese First Division,Sporting CP
Eduardo Quaresma,"Mar 2, 2002 (19)",Portugal,Centre-Back,€5.00m,2020,Portuguese First Division,Sporting CP
Luís Neto,"May 26, 1988 (33)",Portugal,Centre-Back,€2.00m,2020,Portuguese First Division,Sporting CP
